I_bias_A,L_ac_H,I_ac_wdg_A
2.7466101694915257,6.770556719080706e-06,0.05
2.7972881355932206,6.740732752370826e-06,0.05
2.847966101694915,6.712686308938162e-06,0.05
2.89864406779661,6.686457037527984e-06,0.05
2.949322033898305,6.661910640518518e-06,0.05
3.0,6.639007851713565e-06,0.05
0.01,3.522643095478684e-05,0.2
0.06067796610169492,3.481698767897214e-05,0.2
0.11135593220338984,3.3232667785690456e-05,0.2
0.16203389830508477,3.116637275511415e-05,0.2
0.2127118644067797,2.83563726013382e-05,0.2
0.26338983050847464,2.5898363530749762e-05,0.2
0.31406779661016954,2.3889582355485203e-05,0.2
0.36474576271186443,2.2089807033474107e-05,0.2
0.4154237288135594,2.0190991441080978e-05,0.2
0.4661016949152543,1.854732691370956e-05,0.2
0.5167796610169493,1.73800673221015e-05,0.2
0.5674576271186441,1.6599666872886985e-05,0.2
0.6181355932203391,1.603670959350496e-05,0.2
0.668813559322034,1.545043994582115e-05,0.2
0.7194915254237289,1.4762032866283739e-05,0.2
0.7701694915254238,1.3990714105200904e-05,0.2
0.8208474576271187,1.3214099533921579e-05,0.2
0.8715254237288137,1.2496823475276055e-05,0.2
0.9222033898305086,1.18820232803885e-05,0.2
0.9728813559322035,1.136406116026206e-05,0.2
1.0235593220338985,1.092563070221444e-05,0.2
1.0742372881355933,1.0551348053662464e-05,0.2
1.1249152542372882,1.0225615640075909e-05,0.2
1.1755932203389832,9.939910823247024e-06,0.2
1.2262711864406781,9.689315256360739e-06,0.2
1.276949152542373,9.466903614659134e-06,0.2
1.327627118644068,9.267232478079549e-06,0.2
1.378305084745763,9.086161252560594e-06,0.2
1.4289830508474577,8.920563354842389e-06,0.2
1.4796610169491526,8.768427860877009e-06,0.2
1.5303389830508476,8.62693665886292e-06,0.2
1.5810169491525425,8.492952315470979e-06,0.2
1.6316949152542375,8.364717145144499e-06,0.2
1.6823728813559324,8.241359448274804e-06,0.2
1.7330508474576274,8.12259652077898e-06,0.2
1.7837288135593223,8.008160851356169e-06,0.2
1.8344067796610173,7.89822146763189e-06,0.2
1.885084745762712,7.792367239803094e-06,0.2
1.935762711864407,7.690662601839095e-06,0.2
1.986440677966102,7.592841993965505e-06,0.2
2.037118644067797,7.49895412119946e-06,0.2
2.0877966101694914,7.40893807257374e-06,0.2
2.1384745762711863,7.32267901503244e-06,0.2
2.1891525423728813,7.24008905716575e-06,0.2
2.239830508474576,7.16110292476998e-06,0.2
2.290508474576271,7.08576386261217e-06,0.2
2.341186440677966,7.01423941654714e-06,0.2
2.391864406779661,6.9464631229111095e-06,0.2
2.442542372881356,6.882254436670725e-06,0.2
2.493220338983051,6.821383767974805e-06,0.2
2.543898305084746,6.763668674648375e-06,0.2
2.594576271186441,6.708778609804419e-06,0.2
2.645254237288136,6.65637730253077e-06,0.2
2.6959322033898308,6.606281158015805e-06,0.2
2.7466101694915257,6.55838199995959e-06,0.2
2.7972881355932206,6.512495650879635e-06,0.2
2.847966101694915,6.468468876794234e-06,0.2
2.89864406779661,6.426238738081769e-06,0.2
2.949322033898305,6.385708426446205e-06,0.2
3.0,6.34688728989815e-06,0.2
0.01,3.5225790808732845e-05,0.4
0.06067796610169492,3.481584631580337e-05,0.4
0.11135593220338984,3.3235846900866225e-05,0.4
0.16203389830508477,3.11759690836893e-05,0.4
0.2127118644067797,2.8383531066215627e-05,0.4
0.26338983050847464,2.5929034060148726e-05,0.4
0.31406779661016954,2.3922727667812608e-05,0.4
0.36474576271186443,2.2122638272106737e-05,0.4
0.4154237288135594,2.0240269483467607e-05,0.4
0.4661016949152543,1.860461728809064e-05,0.4
0.5167796610169493,1.7433454714370507e-05,0.4
0.5674576271186441,1.6646745709548953e-05,0.4
0.6181355932203391,1.60761022216413e-05,0.4
0.668813559322034,1.5491196895772084e-05,0.4
0.7194915254237289,1.4804236500550281e-05,0.4
0.7701694915254238,1.4038342186404354e-05,0.4
0.8208474576271187,1.3263938056175565e-05,0.4
0.8715254237288137,1.254668427176025e-05,0.4
0.9222033898305086,1.1928396613009462e-05,0.4
0.9728813559322035,1.14070965452603e-05,0.4
1.0235593220338985,1.0965641587040186e-05,0.4
1.0742372881355933,1.058829220138899e-05,0.4
1.1249152542372882,1.026003411859804e-05,0.4
1.1755932203389832,9.971905080980123e-06,0.4
1.2262711864406781,9.718533247355771e-06,0.4
1.276949152542373,9.493714217157425e-06,0.4
1.327627118644068,9.291923676689178e-06,0.4
1.378305084745763,9.109003525307074e-06,0.4
1.4289830508474577,8.941942212213207e-06,0.4
1.4796610169491526,8.788381549473714e-06,0.4
1.5303389830508476,8.645441687586743e-06,0.4
1.5810169491525425,8.509991206936976e-06,0.4
1.6316949152542375,8.380177667626617e-06,0.4
1.6823728813559324,8.255141677693342e-06,0.4
1.7330508474576274,8.134490397352567e-06,0.4
1.7837288135593223,8.01815383823634e-06,0.4
1.8344067796610173,7.906115213369896e-06,0.4
1.885084745762712,7.79817982818921e-06,0.4
1.935762711864407,7.694347503493831e-06,0.4
1.986440677966102,7.5944536666466946e-06,0.4
2.037118644067797,7.4984728923026565e-06,0.4
2.0877966101694914,7.40629987202348e-06,0.4
2.1384745762711863,7.317844714617284e-06,0.4
2.1891525423728813,7.232990167884089e-06,0.4
2.239830508474576,7.1516749841226795e-06,0.4
2.290508474576271,7.073951004748539e-06,0.4
2.341186440677966,6.99996754056982e-06,0.4
2.391864406779661,6.929671826136432e-06,0.4
2.442542372881356,6.862899375390674e-06,0.4
2.493220338983051,6.799448846205362e-06,0.4
2.543898305084746,6.739091198159396e-06,0.4
2.594576271186441,6.681547882357562e-06,0.4
2.645254237288136,6.626488536267557e-06,0.4
2.6959322033898308,6.5737418123108525e-06,0.4
2.7466101694915257,6.523157707183162e-06,0.4
2.7972881355932206,6.474564126068099e-06,0.4
2.847966101694915,6.427892164979858e-06,0.4
2.89864406779661,6.382989572621745e-06,0.4
2.949322033898305,6.339795380732085e-06,0.4
3.0,6.298317040614012e-06,0.4
0.01,3.5225025219188915e-05,0.6
0.06067796610169492,3.4815306859014115e-05,0.6
0.11135593220338984,3.3240011363145485e-05,0.6
0.16203389830508477,3.118532858567655e-05,0.6
0.2127118644067797,2.8410687354947835e-05,0.6
0.26338983050847464,2.5960299269520534e-05,0.6
0.31406779661016954,2.39511480355882e-05,0.6
0.36474576271186443,2.2142804406872732e-05,0.6
0.4154237288135594,2.0279189530391236e-05,0.6
0.4661016949152543,1.8653708958109517e-05,0.6
0.5167796610169493,1.7474888722132584e-05,0.6
0.5674576271186441,1.6677045588537668e-05,0.6
0.6181355932203391,1.609062561885127e-05,0.6
0.668813559322034,1.550253834493e-05,0.6
0.7194915254237289,1.481599605222068e-05,0.6
0.7701694915254238,1.405655623093097e-05,0.6
