I_bias_A,L_bias_H
0.01,0.06117749235249421
0.06067796610169492,0.05499174334090781
0.11135593220338984,0.04373972128371527
0.16203389830508477,0.034860582664316506
0.2127118644067797,0.028737068969087044
0.26338983050847464,0.024485598095889148
0.31406779661016954,0.02135385319585819
0.36474576271186443,0.0189604916832133
0.4154237288135594,0.01708058044410533
0.4661016949152543,0.01556130687709195
0.5167796610169493,0.014298396084484036
0.5674576271186441,0.0132282311960124
0.6181355932203391,0.012309669028610712
0.668813559322034,0.011512387245023408
0.7194915254237289,0.010813009252744732
0.7701694915254238,0.01019428975745451
0.8208474576271187,0.009643740813584009
0.8715254237288137,0.009151577029357594
0.9222033898305086,0.008709558099255851
0.9728813559322035,0.008310668908446731
1.0235593220338985,0.007948556907435282
1.0742372881355933,0.007617883148788291
1.1249152542372882,0.007314375803085355
1.1755932203389832,0.007034623288028919
1.2262711864406781,0.006775828770655646
1.276949152542373,0.006535737167395082
1.327627118644068,0.006312461480963956
1.378305084745763,0.006104354396356577
1.4289830508474577,0.005909963588606735
1.4796610169491526,0.005728001819801003
1.5303389830508476,0.0055573241701229615
1.5810169491525425,0.005396915308482556
1.6316949152542375,0.0052458751433561955
1.6823728813559324,0.005103404552064193
1.7330508474576274,0.004968794142363226
1.7837288135593223,0.004841410685668911
1.8344067796610173,0.00472068603289656
1.885084745762712,0.004606107286598302
1.935762711864407,0.004497208837023896
1.986440677966102,0.004393570112435617
2.037118644067797,0.004294811492757361
2.0877966101694914,0.004200589575940993
2.1384745762711863,0.004110592918602608
2.1891525423728813,0.0040245384154173796
2.239830508474576,0.003942167952025221
2.290508474576271,0.0038632459010830658
2.341186440677966,0.0037875566929012417
2.391864406779661,0.0037149026916396344
2.442542372881356,0.0036451022894912577
2.493220338983051,0.003577988334739001
2.543898305084746,0.0035134066356065224
2.594576271186441,0.0034512147984367427
2.645254237288136,0.003391281338392502
2.6959322033898308,0.0033334850643983735
2.7466101694915257,0.0032777137179457274
2.7972881355932206,0.0032238629004056564
2.847966101694915,0.0031718353848885234
2.89864406779661,0.003121540428395549
2.949322033898305,0.0030728932238382758
3.0,0.003025814395482931
