I_bias_A,L_ac_H,I_ac_wdg_A
2.442542372881356,6.830550712664501e-06,-0.6
2.493220338983051,6.762792591505167e-06,-0.6
2.543898305084746,6.698061659178552e-06,-0.6
2.594576271186441,6.636094442747489e-06,-0.6
2.645254237288136,6.576624897093185e-06,-0.6
2.6959322033898308,6.519477190429311e-06,-0.6
2.7466101694915257,6.4644490845268495e-06,-0.6
2.7972881355932206,6.411397849077501e-06,-0.6
2.847966101694915,6.36026411993931e-06,-0.6
2.89864406779661,6.310919383618613e-06,-0.6
2.949322033898305,6.263299580983971e-06,-0.6
3.0,6.217409848106217e-06,-0.6
0.01,3.522534666432307e-05,-0.4
0.06067796610169492,3.481384984911682e-05,-0.4
0.11135593220338984,3.3237414081197e-05,-0.4
0.16203389830508477,3.118536120526287e-05,-0.4
0.2127118644067797,2.84104826958184e-05,-0.4
0.26338983050847464,2.5959154513764396e-05,-0.4
0.31406779661016954,2.3961375518205794e-05,-0.4
0.36474576271186443,2.217466888961032e-05,-0.4
0.4154237288135594,2.0303277035007373e-05,-0.4
0.4661016949152543,1.867301958988621e-05,-0.4
0.5167796610169493,1.7504133731214637e-05,-0.4
0.5674576271186441,1.6720170890652993e-05,-0.4
0.6181355932203391,1.615479677763294e-05,-0.4
0.668813559322034,1.557600630321522e-05,-0.4
0.7194915254237289,1.4893273383547159e-05,-0.4
0.7701694915254238,1.4128847428834207e-05,-0.4
0.8208474576271187,1.335257592883106e-05,-0.4
0.8715254237288137,1.2631095122190798e-05,-0.4
0.9222033898305086,1.2007744052764343e-05,-0.4
0.9728813559322035,1.1481724417184451e-05,-0.4
1.0235593220338985,1.1035932755939305e-05,-0.4
1.0742372881355933,1.0654385652490607e-05,-0.4
1.1249152542372882,1.0321848768686121e-05,-0.4
1.1755932203389832,1.002939235286543e-05,-0.4
1.2262711864406781,9.771884167972209e-06,-0.4
1.276949152542373,9.543220844965345e-06,-0.4
1.327627118644068,9.338005852609412e-06,-0.4
1.378305084745763,9.1520763067015e-06,-0.4
1.4289830508474577,8.98227602450243e-06,-0.4
1.4796610169491526,8.8262480116059e-06,-0.4
1.5303389830508476,8.680791647182734e-06,-0.4
1.5810169491525425,8.542668081404382e-06,-0.4
1.6316949152542375,8.409919236203112e-06,-0.4
1.6823728813559324,8.281557637680346e-06,-0.4
1.7330508474576274,8.157322880944922e-06,-0.4
1.7837288135593223,8.037135710558672e-06,-0.4
1.8344067796610173,7.921004064377904e-06,-0.4
1.885084745762712,7.808975517067721e-06,-0.4
1.935762711864407,7.700971030516382e-06,-0.4
1.986440677966102,7.596913263215878e-06,-0.4
2.037118644067797,7.496705419732829e-06,-0.4
2.0877966101694914,7.400217035236687e-06,-0.4
2.1384745762711863,7.3073546213058426e-06,-0.4
2.1891525423728813,7.21799283646684e-06,-0.4
2.239830508474576,7.132034415483692e-06,-0.4
2.290508474576271,7.049533818335134e-06,-0.4
2.341186440677966,6.97064897559734e-06,-0.4
2.391864406779661,6.895355738807078e-06,-0.4
2.442542372881356,6.823508602719828e-06,-0.4
2.493220338983051,6.754949479623677e-06,-0.4
2.543898305084746,6.689414291642735e-06,-0.4
2.594576271186441,6.6266477855986204e-06,-0.4
2.645254237288136,6.56635148009073e-06,-0.4
2.6959322033898308,6.508332547784725e-06,-0.4
2.7466101694915257,6.452416646398185e-06,-0.4
2.7972881355932206,6.398487307811837e-06,-0.4
2.847966101694915,6.346471456345333e-06,-0.4
2.89864406779661,6.296243927310583e-06,-0.4
2.949322033898305,6.2477314210933725e-06,-0.4
3.0,6.200956339945604e-06,-0.4
0.01,3.522553997335167e-05,-0.2
0.06067796610169492,3.481294669102049e-05,-0.2
0.11135593220338984,3.323591942690759e-05,-0.2
0.16203389830508477,3.118516388120815e-05,-0.2
0.2127118644067797,2.8411133680976895e-05,-0.2
0.26338983050847464,2.5958048090496667e-05,-0.2
0.31406779661016954,2.3966671422991706e-05,-0.2
0.36474576271186443,2.2194595020706363e-05,-0.2
0.4154237288135594,2.031845658209812e-05,-0.2
0.4661016949152543,1.8684829654153605e-05,-0.2
0.5167796610169493,1.752150218707505e-05,-0.2
0.5674576271186441,1.6745351341513306e-05,-0.2
0.6181355932203391,1.619394899519622e-05,-0.2
0.668813559322034,1.5620351063944414e-05,-0.2
0.7194915254237289,1.494083359909191e-05,-0.2
0.7701694915254238,1.417270440077349e-05,-0.2
0.8208474576271187,1.3392367555755305e-05,-0.2
0.8715254237288137,1.2665851708039395e-05,-0.2
0.9222033898305086,1.2040496708527699e-05,-0.2
0.9728813559322035,1.1513169443255479e-05,-0.2
1.0235593220338985,1.1066275985720663e-05,-0.2
1.0742372881355933,1.068371246580443e-05,-0.2
1.1249152542372882,1.0349369163206535e-05,-0.2
1.1755932203389832,1.0054788216184363e-05,-0.2
1.2262711864406781,9.79567479241004e-06,-0.2
1.276949152542373,9.565569365360639e-06,-0.2
1.327627118644068,9.35899141624686e-06,-0.2
1.378305084745763,9.171857300103965e-06,-0.2
1.4289830508474577,9.000955532192135e-06,-0.2
1.4796610169491526,8.84395833242969e-06,-0.2
1.5303389830508476,8.697535734668589e-06,-0.2
1.5810169491525425,8.558348331203869e-06,-0.2
1.6316949152542375,8.42421770610342e-06,-0.2
1.6823728813559324,8.294270404161094e-06,-0.2
1.7330508474576274,8.16827382789048e-06,-0.2
1.7837288135593223,8.046123728651745e-06,-0.2
1.8344067796610173,7.9279342734571e-06,-0.2
1.885084745762712,7.81386797399207e-06,-0.2
1.935762711864407,7.703808247637694e-06,-0.2
1.986440677966102,7.59769656483597e-06,-0.2
2.037118644067797,7.495415580664489e-06,-0.2
2.0877966101694914,7.396800514197334e-06,-0.2
2.1384745762711863,7.301788329630624e-06,-0.2
2.1891525423728813,7.210189262235244e-06,-0.2
2.239830508474576,7.121923823457515e-06,-0.2
2.290508474576271,7.037029981332785e-06,-0.2
2.341186440677966,6.95570980556282e-06,-0.2
2.391864406779661,6.877935056754155e-06,-0.2
2.442542372881356,6.80355453411654e-06,-0.2
2.493220338983051,6.73246512389489e-06,-0.2
2.543898305084746,6.66437374017276e-06,-0.2
2.594576271186441,6.599046989734345e-06,-0.2
2.645254237288136,6.53613079790378e-06,-0.2
2.6959322033898308,6.47549320789366e-06,-0.2
2.7466101694915257,6.4168877107010545e-06,-0.2
2.7972881355932206,6.36030483775125e-06,-0.2
2.847966101694915,6.30562765557675e-06,-0.2
2.89864406779661,6.252737383754255e-06,-0.2
2.949322033898305,6.201556665710359e-06,-0.2
3.0,6.1521263539776905e-06,-0.2
0.01,3.522433162436816e-05,-0.05
0.06067796610169492,3.48069273151846e-05,-0.05
0.11135593220338984,3.324013954268306e-05,-0.05
0.16203389830508477,3.1211882375135255e-05,-0.05
0.2127118644067797,2.848968362546114e-05,-0.05
0.26338983050847464,2.6042246526367777e-05,-0.05
0.31406779661016954,2.4077748123194575e-05,-0.05
0.36474576271186443,2.235020988325226e-05,-0.05
0.4154237288135594,2.0505202214524118e-05,-0.05
0.4661016949152543,1.8884347567565045e-05,-0.05
0.5167796610169493,1.7728122889573345e-05,-0.05
0.5674576271186441,1.6959689205261382e-05,-0.05
0.6181355932203391,1.642985221101394e-05,-0.05
0.668813559322034,1.5875974805434055e-05,-0.05
0.7194915254237289,1.5210550620470771e-05,-0.05
0.7701694915254238,1.4445699620470648e-05,-0.05
0.8208474576271187,1.365884169197583e-05,-0.05
0.8715254237288137,1.291702821955256e-05,-0.05
0.9222033898305086,1.2276032310126168e-05,-0.05
0.9728813559322035,1.1735040248549616e-05,-0.05
1.0235593220338985,1.1275779154268653e-05,-0.05
1.0742372881355933,1.0881157235644482e-05,-0.05
1.1249152542372882,1.0533935612687955e-05,-0.05
1.1755932203389832,1.0226011141462514e-05,-0.05
1.2262711864406781,9.954317009087173e-06,-0.05
1.276949152542373,9.712704156321711e-06,-0.05
1.327627118644068,9.495530116169005e-06,-0.05
1.378305084745763,9.299497631270669e-06,-0.05
1.4289830508474577,9.120922675023454e-06,-0.05
1.4796610169491526,8.956670860479009e-06,-0.05
1.5303389830508476,8.803164344403402e-06,-0.05
1.5810169491525425,8.656267130684644e-06,-0.05
1.6316949152542375,8.513392117506748e-06,-0.05
1.6823728813559324,8.373529607427364e-06,-0.05
1.7330508474576274,8.236600575034053e-06,-0.05
1.7837288135593223,8.10300643147789e-06,-0.05
1.8344067796610173,7.972284431425804e-06,-0.05
1.885084745762712,7.845919028576302e-06,-0.05
1.935762711864407,7.723222822746222e-06,-0.05
1.986440677966102,7.604806824523706e-06,-0.05
2.037118644067797,7.489968607215193e-06,-0.05
2.0877966101694914,7.378488676523376e-06,-0.05
2.1384745762711863,7.270407295424342e-06,-0.05
2.1891525423728813,7.165292187514931e-06,-0.05
2.239830508474576,7.06311825268615e-06,-0.05
2.290508474576271,6.963883836049054e-06,-0.05
2.341186440677966,6.867879387346365e-06,-0.05
2.391864406779661,6.775118070856742e-06,-0.05
2.442542372881356,6.685451854039768e-06,-0.05
2.493220338983051,6.599054278156224e-06,-0.05
2.543898305084746,6.515403680152648e-06,-0.05
2.594576271186441,6.434434075230372e-06,-0.05
2.645254237288136,6.355704131258641e-06,-0.05
2.6959322033898308,6.279290124337484e-06,-0.05
2.7466101694915257,6.204630470052876e-06,-0.05
2.7972881355932206,6.131981927599777e-06,-0.05
2.847966101694915,6.061326168083184e-06,-0.05
2.89864406779661,5.992439037127133e-06,-0.05
2.949322033898305,5.9252722249833e-06,-0.05
3.0,5.8599234073519535e-06,-0.05
0.01,3.522789929125646e-05,0.05
0.06067796610169492,3.48231028917628e-05,0.05
0.11135593220338984,3.322698338491332e-05,0.05
0.16203389830508477,3.113644424610696e-05,0.05
0.2127118644067797,2.826960726869488e-05,0.05
0.26338983050847464,2.580422238600664e-05,0.05
0.31406779661016954,2.376973077770688e-05,0.05
0.36474576271186443,2.1930134776125758e-05,0.05
0.4154237288135594,1.999347291863088e-05,0.05
0.4661016949152543,1.8333498880937526e-05,0.05
0.5167796610169493,1.7162197748511016e-05,0.05
0.5674576271186441,1.6378519631211362e-05,0.05
0.6181355932203391,1.5800918709709624e-05,0.05
0.668813559322034,1.5196040624342786e-05,0.05
0.7194915254237289,1.4494352513928652e-05,0.05
0.7701694915254238,1.3716491027799942e-05,0.05
0.8208474576271187,1.294448259199477e-05,0.05
0.8715254237288137,1.2240745837288212e-05,0.05
0.9222033898305086,1.1642272178583885e-05,0.05
0.9728813559322035,1.1138638270880162e-05,0.05
1.0235593220338985,1.0713116963960672e-05,0.05
1.0742372881355933,1.0351573483760134e-05,0.05
1.1249152542372882,1.0038897789194388e-05,0.05
1.1755932203389832,9.766535141745046e-06,0.05
1.2262711864406781,9.529054629482661e-06,0.05
1.276949152542373,9.318386085205938e-06,0.05
1.327627118644068,9.129416208379942e-06,0.05
1.378305084745763,8.957467122789006e-06,0.05
1.4289830508474577,8.799758711226778e-06,0.05
1.4796610169491526,8.654868380341463e-06,0.05
1.5303389830508476,8.520701475995608e-06,0.05
1.5810169491525425,8.394618741152233e-06,0.05
1.6316949152542375,8.275257139768257e-06,0.05
1.6823728813559324,8.161771381185791e-06,0.05
1.7330508474576274,8.05388486348351e-06,0.05
1.7837288135593223,7.951006075813923e-06,0.05
1.8344067796610173,7.85359234109063e-06,0.05
1.885084745762712,7.760033492397895e-06,0.05
1.935762711864407,7.67096061709134e-06,0.05
1.986440677966102,7.5854743353031194e-06,0.05
2.037118644067797,7.504149059031917e-06,0.05
2.0877966101694914,7.427010124733868e-06,0.05
2.1384745762711863,7.3538199348323195e-06,0.05
