I_bias_A,L_bias_diff_H
0.01,0.025005855873526463
0.06067796610169492,0.02011138093583111
0.11135593220338984,0.012932138012897283
0.16203389830508477,0.008412318794012105
0.2127118644067797,0.005864937246431804
0.26338983050847464,0.0046189254464504845
0.31406779661016954,0.0038866706443181943
0.36474576271186443,0.0032951728603180176
0.4154237288135594,0.0028699207672927525
0.4661016949152543,0.0025988762379042913
0.5167796610169493,0.0024093696171764516
0.5674576271186441,0.0022573936483380962
0.6181355932203391,0.002102852375515574
0.668813559322034,0.0019393591981945579
0.7194915254237289,0.0017634790509724384
0.7701694915254238,0.001583591648478612
0.8208474576271187,0.0014179879418979914
0.8715254237288137,0.0012749209386350528
0.9222033898305086,0.0011521614117790044
0.9728813559322035,0.0010475072394958316
1.0235593220338985,0.0009590926466840375
1.0742372881355933,0.0008844519769991164
1.1249152542372882,0.000819907550433513
1.1755932203389832,0.0007575400203307404
1.2262711864406781,0.0006978702793151446
1.276949152542373,0.0006426335538711884
1.327627118644068,0.0005941286444297854
1.378305084745763,0.0005551783035950775
1.4289830508474577,0.0005244734936542893
1.4796610169491526,0.000499901473851726
1.5303389830508476,0.00048005289778391813
1.5810169491525425,0.0004636758225495212
1.6316949152542375,0.0004474811556898139
1.6823728813559324,0.0004304429734470436
1.7330508474576274,0.0004126045172412903
1.7837288135593223,0.0003944418898408749
1.8344067796610173,0.00037657098175262094
1.885084745762712,0.0003594168944251887
1.935762711864407,0.00034302691847661434
1.986440677966102,0.0003277728281005331
2.037118644067797,0.00031407078453557475
2.0877966101694914,0.0003018227024385064
2.1384745762711863,0.00029087332837621487
2.1891525423728813,0.0002810510796675642
2.239830508474576,0.0002721796732793313
2.290508474576271,0.0002641515081296523
2.341186440677966,0.0002567834102018606
2.391864406779661,0.0002499917054047761
2.442542372881356,0.00024366222374211204
2.493220338983051,0.00023776645408794283
2.543898305084746,0.00023222053189120097
2.594576271186441,0.0002270098864197656
2.645254237288136,0.00022209922966128076
2.6959322033898308,0.00021747377178293314
2.7466101694915257,0.00021311130764170333
2.7972881355932206,0.00020899432500330703
2.847966101694915,0.00020509757089346665
2.89864406779661,0.00020139556609032478
2.949322033898305,0.000197854520929499
3.0,0.0001944467346959168
